Circuit delay: 1810.24 ps

Gate slacks:
INP-n1: 1086.79 ps
INP-n2: 1129.17 ps
INP-n3: 1130.83 ps
INP-n4: 1096.77 ps
INP-n5: 1057.08 ps
INP-n6: 1017.39 ps
INP-n7: 977.69 ps
INP-n8: 938.00 ps
INP-n9: 898.31 ps
INP-n10: 858.62 ps
INP-n11: 818.92 ps
INP-n12: 779.23 ps
INP-n13: 739.54 ps
INP-n14: 699.84 ps
INP-n15: 660.15 ps
INP-n16: 620.45 ps
INP-n17: 546.22 ps
INP-n18: 513.14 ps
INP-n19: 480.06 ps
INP-n20: 446.99 ps
INP-n21: 445.57 ps
INP-n22: 485.09 ps
INP-n23: 452.02 ps
INP-n24: 418.94 ps
INP-n25: 417.76 ps
INP-n26: 430.14 ps
INP-n27: 397.06 ps
INP-n28: 392.53 ps
INP-n29: 384.92 ps
INP-n30: 374.19 ps
INP-n31: 404.31 ps
INP-n32: 404.31 ps
AND-n33: 731.55 ps
NAND-n34: 760.74 ps
NAND-n35: 857.06 ps
NAND-n36: 896.75 ps
NAND-n37: 933.94 ps
NAND-n38: 1016.18 ps
NAND-n39: 1098.41 ps
NAND-n40: 1183.14 ps
NAND-n41: 1222.83 ps
NAND-n42: 1260.02 ps
NAND-n43: 1344.74 ps
NAND-n44: 1381.93 ps
NAND-n45: 1466.65 ps
NAND-n46: 1506.34 ps
NAND-n47: 1543.53 ps
NAND-n48: 1628.25 ps
NAND-n49: 1665.44 ps
NAND-n50: 1735.67 ps
NAND-n51: 1805.86 ps
NAND-n52: 1874.25 ps
OR-n53: 1903.96 ps
OR-n54: 1909.87 ps
INP-n55: 189.46 ps
NAND-n56: 1581.97 ps
INP-n57: 181.02 ps
NAND-n58: 1581.97 ps
INP-n59: 196.25 ps
NAND-n60: 1581.97 ps
INP-n61: 181.02 ps
NAND-n62: 1581.97 ps
INP-n63: 181.02 ps
NAND-n64: 1581.97 ps
INP-n65: 181.02 ps
NAND-n66: 1581.97 ps
INP-n67: 181.02 ps
NAND-n68: 1581.97 ps
INP-n69: 205.95 ps
NAND-n70: 1581.97 ps
INP-n71: 205.95 ps
NAND-n72: 1563.53 ps
INP-n73: 205.95 ps
NAND-n74: 1563.53 ps
INP-n75: 181.02 ps
NAND-n76: 1563.53 ps
INP-n77: 181.02 ps
NAND-n78: 1536.09 ps
INP-n79: 181.02 ps
NAND-n80: 1501.95 ps
INP-n81: 181.02 ps
NAND-n82: 1501.95 ps
INP-n83: 189.46 ps
NAND-n84: 1501.95 ps
INP-n85: 189.46 ps
NAND-n86: 1501.95 ps
INP-n87: 189.46 ps
NAND-n88: 1496.08 ps
INP-n89: 181.02 ps
NAND-n90: 1456.39 ps
INP-n91: 181.02 ps
NAND-n92: 1416.70 ps
INP-n93: 181.02 ps
NAND-n94: 1377.00 ps
INP-n95: 205.95 ps
NAND-n96: 1337.31 ps
INP-n97: 205.95 ps
NAND-n98: 1297.62 ps
INP-n99: 181.02 ps
NAND-n100: 1257.92 ps
INP-n101: 181.02 ps
NAND-n102: 1218.23 ps
INP-n103: 181.02 ps
NAND-n104: 1178.54 ps
INP-n105: 181.02 ps
NAND-n106: 1138.85 ps
INP-n107: 189.46 ps
NAND-n108: 1099.15 ps
INP-n109: 196.25 ps
NAND-n110: 1059.46 ps
INP-n111: 196.25 ps
NAND-n112: 1019.77 ps
INP-n113: 196.25 ps
NAND-n114: 980.08 ps
INP-n115: 331.07 ps
NAND-n116: 934.77 ps
INP-n117: 186.29 ps
NAND-n118: 931.04 ps
INP-n119: 1240.45 ps
NAND-n120: 1203.54 ps
INP-n121: 1253.86 ps
NAND-n122: 1203.54 ps
INP-n123: 1147.48 ps
AND-n124: 1230.05 ps
INP-n125: 1147.48 ps
AND-n126: 1230.05 ps
INP-n127: 1147.48 ps
AND-n128: 1230.05 ps
INP-n129: 1147.48 ps
AND-n130: 1230.05 ps
INP-n131: 1147.48 ps
AND-n132: 1230.05 ps
