type, x coordinate, y coordinate
a, 31.2793, 31.7967
a, 30.0402, 32.3138
a, 30.9889, 33.3737
a, 31.574, 32.0724
a, 30.9495, 32.2733
a, 30.9591, 32.2746
a, 30.9111, 32.1318
a, 30.7679, 33.2824
a, 31.0676, 32.3753
a, 29.6368, 31.9493
a, 24.9197, 27.5231
a, 30.8338, 32.3982
a, 30.7861, 33.3613
a, 30.7054, 32.1547
a, 30.8003, 33.9451
a, 30.797, 33.3374
a, 29.9984, 31.3675
a, 30.9285, 32.9008
a, 40.121, 43.1597
a, 40.8887, 17.2641
a, 30.9897, 31.6671
a, 30.9054, 32.2001
a, 21.4592, 42.7379
a, 39.743, 37.5687
a, 30.9464, 33.2401
a, 30.7552, 27.4174
a, 19.0752, 37.1772
a, 30.9542, 32.3198
a, 30.8348, 33.2834
a, 30.7599, 33.3896
a, 30.7928, 33.3418
a, 30.9713, 32.1757
a, 35.3243, 39.5162
a, 31.5644, 32.1469
a, 31.0375, 32.2585
a, 31.0087, 33.2707
a, 30.8984, 33.2915
a, 29.1016, 31.4109
a, 30.7547, 32.1954
a, 31.0842, 32.1567
a, 30.579, 32.4075
a, 31.0388, 32.2821
a, 33.417, 30.8486
a, 30.8232, 31.3966
a, 30.909, 32.4083
a, 30.372, 32.9737
a, 30.6322, 33.319
a, 30.3749, 32.4117
a, 30.9111, 33.1484
a, 30.9967, 33.3628
a, 30.8042, 33.2556
a, 30.9093, 32.4218
a, 30.9345, 32.1622
a, 32.4509, 31.2453
a, 31.0785, 33.4747
a, 30.9677, 32.2476
a, 30.6605, 33.2567
a, 30.8834, 32.5425
a, 30.7588, 32.7427
a, 30.9202, 33.0913
a, 27.6435, 31.5176
a, 28.6086, 32.1264
a, 30.8668, 32.199
a, 31.6528, 32.118
a, 30.6857, 33.3647
a, 30.0119, 31.3948
a, 34.901, 27.6607
a, 31.0917, 32.1339
a, 30.9153, 32.408
a, 30.8992, 33.2092
a, 30.1006, 33.814
a, 31.2432, 32.272
a, 30.3575, 32.5036
a, 32.2791, 31.3751
a, 36.0993, 36.1263
a, 30.8533, 33.1321
a, 30.9096, 32.394
a, 30.9329, 32.3473
a, 30.9205, 33.1944
a, 30.8626, 33.3657
a, 31.1547, 32.3055
a, 30.3681, 32.995
a, 30.9902, 32.1087
a, 30.7902, 33.1466
a, 30.8662, 32.651
a, 30.2872, 31.6541
a, 30.5617, 32.5467
a, 29.6233, 32.116
a, 29.7011, 31.7787
a, 31.2704, 32.2787
a, 29.9006, 32.557
a, 30.8232, 32.2427
a, 30.7285, 32.2925
a, 30.7785, 33.3696
a, 30.9147, 32.3548
a, 31.2141, 32.2665
a, 30.6247, 35.4212
a, 30.9122, 32.4088
a, 30.6377, 33.3065
a, 31.1467, 32.2554
a, 30.9334, 32.3904
a, 34.4412, 32.5804
a, 31.0432, 32.2237
a, 30.6237, 35.3439
a, 33.8982, 40.5572
a, 31.3049, 31.6064
a, 31.0727, 32.1549
a, 30.7542, 33.0921
a, 30.6727, 33.3763
a, 30.0822, 32.3143
a, 31.2966, 32.0822
a, 30.9664, 32.3039
a, 30.8906, 32.4374
a, 30.6486, 33.3836
a, 30.8387, 32.4981
a, 31.204, 32.2621
a, 30.9768, 32.1432
a, 30.5152, 33.5173
a, 30.9023, 32.4322
a, 23.0254, 46.6991
a, 31.2051, 32.3239
a, 30.9083, 32.543
a, 30.4436, 32.3426
a, 30.7739, 33.2865
a, 36.2913, 26.2913
a, 30.9186, 32.4179
a, 31.0338, 31.9921
a, 31.5252, 32.0295
a, 31.4196, 32.0534
a, 30.7861, 33.3613
a, 31.0873, 31.5609
a, 30.6545, 33.8148
a, 31.0862, 32.2221
a, 30.6216, 33.2523
a, 30.943, 33.285
a, 32.3377, 34.2419
a, 30.5759, 32.3525
a, 29.4687, 31.8057
a, 30.9755, 33.3859
a, 30.578, 33.1866
a, 31.3254, 31.6386
a, 36.5255, 30.615
a, 30.9845, 33.346
a, 31.0624, 31.3351
a, 31.5965, 32.124
a, 30.5663, 32.5853
a, 30.5653, 32.6061
a, 30.8795, 33.2375
a, 31.0035, 33.2748
a, 30.921, 32.3564
a, 30.9537, 33.2369
a, 30.9438, 32.3239
a, 15.3004, 20.682
a, 29.7699, 32.3481
a, 30.7863, 32.0537
a, 27.4119, 27.7531
a, 32.3196, 32.5498
a, 30.9282, 33.2203
a, 29.8132, 32.1695
a, 32.3564, 35.8626
a, 30.8429, 33.1149
a, 30.846, 32.2333
a, 30.9889, 33.4335
a, 31.0268, 32.2917
a, 31.0772, 32.2105
a, 30.9524, 32.3231
a, 30.7941, 33.4368
a, 30.8076, 33.3332
a, 31.6173, 32.0978
a, 31.2079, 32.2632
a, 31.0733, 32.3143
a, 31.2069, 32.2621
a, 15.1676, 45.6306
a, 30.6512, 31.9786
a, 32.2661, 31.4911
a, 15.7127, 21.9736
a, 30.7604, 31.4984
a, 30.3463, 32.2203
a, 30.4301, 32.0269
a, 31.1379, 32.2528
a, 30.9864, 32.1772
a, 30.7749, 33.367
a, 30.9119, 32.1604
a, 30.9915, 33.4353
a, 30.8307, 33.4311
a, 31.259, 31.5542
a, 35.8261, 27.29
a, 30.7547, 33.5043
a, 31.0268, 32.2598
a, 30.9915, 32.2691
a, 29.8075, 32.2834
a, 30.8304, 33.4311
a, 31.2951, 32.0752
a, 31.2056, 32.2626
a, 31.162, 31.7245
a, 31.0665, 32.9158
a, 30.4607, 32.0822
a, 30.7313, 32.3102
a, 30.8621, 32.1601
a, 35.0024, 34.9698
a, 30.9461, 32.265
a, 30.9892, 32.2325
a, 31.1558, 32.3065
a, 31.0349, 32.2951
a, 30.6543, 33.0908
a, 29.1166, 31.4156
a, 25.5068, 33.1676
a, 31.7193, 33.0687
