type, x coordinate, y coordinate
a, 37.2665, 36.1573
a, 37.3255, 37.3653
a, 38.1847, 38.6284
a, 37.2414, 36.6867
a, 38.5348, 36.6214
a, 37.354, 37.6952
a, 35.8349, 39.7724
a, 37.2398, 37.312
a, 37.554, 36.9443
a, 37.0264, 36.3051
a, 37.721, 37.4008
a, 37.2673, 37.4767
a, 37.3423, 37.0041
a, 37.5631, 37.8705
a, 37.5625, 36.7117
a, 37.5119, 37.6838
a, 35.2071, 35.3999
a, 37.4125, 37.6044
a, 38.448, 36.3526
a, 37.2388, 37.2011
a, 37.1694, 36.6847
a, 39.5622, 39.0634
a, 37.3842, 37.6401
a, 37.2466, 37.3298
a, 39.446, 36.2386
a, 35.899, 36.7411
a, 37.6534, 37.9563
a, 37.2679, 36.6505
a, 35.536, 38.0051
a, 37.2553, 37.116
a, 37.1595, 37.4727
a, 32.8751, 38.6614
a, 37.4271, 37.711
a, 37.2651, 37.6225
a, 37.1677, 36.9401
a, 37.1779, 37.3127
a, 37.7136, 38.0363
a, 38.3829, 38.2216
a, 37.2298, 36.2417
a, 37.3382, 36.2001
a, 37.2871, 37.1815
a, 37.508, 37.6217
a, 37.2565, 37.5926
a, 37.9152, 38.1596
a, 38.3309, 37.5338
a, 37.3914, 37.6968
a, 37.1342, 36.0671
a, 37.4038, 36.3405
a, 37.325, 36.2047
a, 34.9728, 40.336
a, 37.9278, 38.2176
a, 37.1925, 37.4291
a, 39.4818, 36.1905
a, 37.2185, 37.6097
a, 37.0435, 36.6066
a, 37.3256, 37.5498
a, 34.9967, 40.1839
a, 37.6876, 37.9741
a, 38.0803, 37.6263
a, 37.2484, 37.5981
a, 37.3107, 37.4252
a, 37.3231, 43.1453
a, 37.2569, 37.5534
a, 37.2135, 37.495
a, 37.505, 37.2076
a, 37.2388, 37.0861
a, 38.1701, 38.5375
a, 36.6814, 36.5442
a, 37.2726, 37.5494
a, 37.1682, 37.6092
a, 37.3658, 37.6014
a, 37.5228, 37.7448
a, 37.1302, 37.4449
a, 44.966, 29.2197
a, 37.2567, 37.3625
a, 37.2305, 37.5937
a, 37.2397, 37.2451
a, 45.6859, 41.4371
a, 37.4714, 37.6613
a, 37.5377, 37.5017
a, 37.0434, 37.1526
a, 37.2922, 37.3511
a, 37.1711, 37.4475
a, 34.9332, 39.4652
a, 37.9015, 37.7973
a, 36.5094, 38.0968
a, 37.4514, 36.2056
a, 37.4329, 37.8632
a, 37.2206, 36.1516
a, 38.5961, 36.5322
a, 39.9727, 38.118
a, 35.1406, 40.2081
a, 37.4591, 36.986
a, 37.5359, 37.4819
a, 38.1187, 37.8521
a, 37.2352, 37.2127
a, 37.0016, 36.9011
a, 37.3058, 37.738
a, 37.2032, 37.2091
a, 37.2551, 37.3332
a, 37.2498, 37.8105
a, 37.3201, 37.2438
a, 37.4516, 37.2018
a, 37.5589, 37.6932
a, 37.4557, 37.3208
a, 37.2622, 37.4897
a, 37.354, 37.674
a, 37.1966, 37.197
a, 37.1412, 37.8134
a, 37.2565, 37.3618
a, 36.5846, 38.4511
a, 37.2557, 37.3704
a, 37.7871, 37.7009
a, 37.5022, 37.7737
a, 37.2865, 37.5483
a, 37.2339, 37.4895
a, 37.279, 37.6117
a, 37.8645, 38.1609
a, 37.3095, 37.6135
a, 37.1859, 37.4166
a, 37.4229, 37.1754
a, 36.7378, 37.7277
a, 37.3227, 36.943
a, 37.3316, 37.7563
a, 37.276, 37.7457
a, 37.4449, 37.2122
a, 37.4832, 37.7015
a, 38.0743, 37.5731
a, 38.2004, 38.7233
a, 37.2936, 37.2021
a, 37.2834, 37.4704
a, 35.6943, 39.0388
a, 19.2442, 37.6135
a, 37.0885, 35.8534
a, 37.1802, 42.9296
a, 35.2679, 40.2598
a, 37.2579, 37.355
a, 37.1789, 37.6182
a, 37.4494, 37.5139
a, 37.5404, 37.7635
a, 36.8819, 37.8337
a, 37.2892, 37.6214
a, 38.7145, 37.8872
a, 35.4499, 42.1534
a, 37.4975, 37.6355
a, 37.2792, 36.3183
a, 37.0498, 36.5788
a, 37.9458, 38.2437
a, 37.467, 37.7774
a, 37.2674, 37.505
a, 39.419, 38.0757
a, 37.2739, 37.2978
a, 37.2597, 37.1648
a, 37.4724, 37.0663
a, 37.2311, 37.387
a, 37.1346, 36.4534
a, 55.9184, 34.4013
a, 64.4094, 27.3015
a, 37.4018, 37.1933
a, 37.2689, 37.4771
a, 37.1465, 37.4105
a, 37.1721, 36.849
a, 37.2552, 37.1799
a, 37.2125, 37.5027
a, 37.533, 37.6923
a, 37.2753, 37.437
a, 37.8714, 37.6714
a, 37.2465, 36.0297
a, 37.3049, 37.6162
a, 37.2736, 37.5039
a, 37.3259, 37.9128
a, 37.227, 37.5856
a, 37.3638, 37.5913
a, 37.1865, 36.6598
a, 37.3402, 37.5778
a, 37.7029, 37.7336
a, 37.5002, 37.6497
a, 37.198, 37.2559
a, 37.528, 37.491
a, 37.3279, 36.096
a, 37.1552, 36.4353
a, 37.484, 37.6147
a, 37.2251, 37.4314
a, 37.8166, 38.2742
a, 37.2572, 37.1821
a, 38.5995, 36.2449
a, 37.2554, 37.2005
a, 38.7411, 37.2429
a, 37.2726, 37.4952
a, 37.4762, 37.8241
a, 36.3538, 38.2033
a, 37.8383, 38.2672
a, 37.156, 37.4129
a, 37.1969, 35.9654
a, 37.3482, 37.7561
a, 37.3268, 35.9222
a, 37.3463, 37.6986
a, 37.1674, 37.4535
a, 36.8757, 36.3428
a, 37.2403, 37.5316
a, 37.117, 37.7957
a, 37.2627, 37.1776
a, 37.6377, 37.5217
a, 37.1873, 37.5107
a, 37.0174, 37.2928
a, 37.4153, 36.1444
a, 36.915, 36.9063
a, 37.6725, 37.6617
a, 37.2753, 37.6013
a, 37.1743, 37.436
a, 37.2066, 37.5218
a, 37.4853, 37.2842
a, 37.4614, 37.0947
a, 37.4625, 35.2947
a, 37.5508, 36.9415
a, 37.3809, 37.7105
a, 37.2522, 37.1625
a, 37.1387, 36.9737
a, 38.1511, 38.5279
a, 37.1384, 37.4098
a, 37.0998, 36.8206
a, 37.3347, 36.1747
a, 37.4763, 37.2407
a, 37.267, 37.48
a, 37.5428, 37.4923
a, 37.1653, 37.5056
a, 37.2522, 36.0091
a, 36.865, 36.0641
a, 37.6023, 37.4993
a, 37.3914, 37.7073
a, 37.5504, 36.9401
a, 37.336, 37.5718
a, 37.5224, 37.3678
a, 43.942, 25.277
a, 37.2818, 37.3361
a, 37.3143, 37.7663
a, 37.7478, 37.9846
a, 37.5327, 37.6655
a, 37.2429, 37.1667
a, 36.9657, 36.2298
a, 37.9463, 38.1849
a, 37.247, 37.5444
a, 37.1443, 36.8119
a, 37.1991, 37.43
a, 37.2454, 37.3613
a, 38.7003, 38.8082
a, 37.2686, 37.137
a, 37.4001, 37.7088
a, 37.1496, 37.5358
a, 37.7272, 38.0912
a, 37.2496, 36.7466
a, 37.0871, 35.9313
a, 37.2919, 36.0116
a, 34.8418, 55.1434
a, 31.9359, 42.4109
a, 36.1087, 34.3886
a, 37.2561, 37.451
a, 37.2403, 37.4692
a, 37.5332, 37.465
a, 34.7698, 40.2795
a, 35.6963, 28.9715
a, 37.1827, 37.3643
a, 37.5051, 37.6604
a, 33.9521, 39.8838
a, 38.8982, 37.7723
a, 35.7032, 39.9418
a, 37.5862, 37.8861
a, 37.043, 37.7024
a, 35.6361, 35.4337
a, 34.9726, 40.3586
a, 35.5917, 34.9558
a, 37.5693, 37.8065
a, 37.371, 37.7402
a, 37.4736, 36.7222
a, 37.55, 37.7151
a, 37.2685, 37.4335
a, 37.3622, 37.519
a, 37.1948, 37.1207
a, 30.9787, 38.6186
a, 37.4015, 36.3658
a, 37.312, 36.1318
a, 37.4843, 37.775
a, 37.4479, 38.1437
a, 37.2109, 37.4869
a, 37.3166, 37.7541
a, 37.1677, 37.3635
a, 37.2445, 37.2688
a, 37.1996, 37.7224
a, 37.7255, 37.5318
a, 37.8623, 38.2624
a, 37.7626, 36.5468
a, 37.2566, 37.3124
a, 33.6113, 39.0082
a, 38.1865, 38.3178
a, 37.8728, 38.1257
a, 37.2008, 37.2598
a, 37.1333, 37.2494
a, 37.2347, 37.4337
a, 37.2313, 37.5912
a, 37.1303, 37.1289
a, 37.124, 37.5818
a, 37.9663, 38.3194
a, 37.1345, 36.4124
a, 39.4034, 39.3173
a, 37.3515, 37.6425
a, 37.4936, 37.7586
a, 37.5082, 37.5976
a, 37.2621, 37.1731
a, 38.0211, 38.2787
a, 37.2536, 37.0863
a, 37.5292, 37.773
a, 37.2762, 36.2759
a, 37.0306, 38.3722
a, 37.3298, 37.5702
a, 37.2845, 37.5035
a, 37.4174, 37.464
a, 37.9856, 38.286
a, 37.6215, 37.1187
a, 37.2751, 37.6236
a, 37.2507, 37.5843
a, 37.2365, 37.5624
a, 37.2818, 37.4942
a, 37.3038, 36.541
a, 37.9385, 38.1831
a, 35.7753, 38.333
a, 38.4332, 38.9323
a, 37.3299, 37.8301
a, 37.2623, 37.5116
a, 35.0261, 40.2008
a, 36.8905, 37.2174
a, 38.2935, 38.1931
a, 37.3125, 37.5016
a, 37.2658, 37.606
a, 37.5053, 37.6566
a, 36.7129, 37.9113
a, 37.1929, 36.5231
a, 37.2673, 37.6203
a, 37.2071, 37.4815
a, 37.488, 37.8608
a, 37.5727, 37.6118
a, 36.988, 37.5182
a, 37.2411, 37.1057
a, 37.424, 37.7
a, 37.5228, 37.8328
a, 37.3011, 36.9374
a, 37.565, 37.6742
a, 37.5652, 37.7796
a, 37.2535, 37.3817
a, 38.1373, 38.4986
a, 37.295, 37.376
a, 37.2194, 37.4942
a, 38.0204, 38.3541
a, 37.1721, 37.5417
a, 38.0858, 35.9309
a, 37.4465, 37.2914
a, 37.3649, 37.8403
a, 37.2745, 36.4089
a, 37.2428, 37.1891
a, 35.1444, 40.2082
a, 39.9167, 54.5575
a, 37.5291, 37.704
a, 37.3918, 37.5967
a, 37.2397, 37.1448
a, 37.2785, 37.6301
a, 36.6229, 37.1187
a, 37.3, 37.5783
a, 37.6097, 37.9061
a, 37.2914, 37.3239
a, 37.6538, 37.953
a, 37.3307, 37.5979
a, 38.0097, 37.7724
a, 37.1809, 37.3222
a, 37.4156, 37.6931
a, 37.1987, 37.5626
a, 36.4778, 39.5662
a, 37.2376, 37.2083
a, 37.1048, 36.8405
a, 37.4168, 36.1219
a, 37.4097, 37.7661
a, 36.5188, 38.0659
a, 37.2682, 37.5481
a, 37.4712, 37.231
a, 37.5584, 35.0107
a, 37.6873, 37.1691
a, 35.9998, 36.2317
a, 37.5511, 36.9422
a, 37.2199, 37.6295
a, 37.2303, 37.4428
a, 37.4098, 36.2517
a, 37.9595, 37.7047
a, 37.9715, 38.2717
a, 35.9236, 33.5989
a, 37.205, 37.4793
a, 37.1108, 37.4995
a, 37.6018, 37.0892
a, 37.2703, 37.8535
a, 37.1913, 36.2045
a, 36.5774, 38.09
a, 37.288, 37.5006
a, 37.1324, 36.1149
a, 37.2543, 37.6071
a, 37.5654, 37.6615
a, 37.4407, 37.7393
a, 37.9534, 37.708
a, 37.2748, 37.5619
a, 37.2506, 37.3478
a, 37.2954, 37.6077
a, 37.2105, 37.3563
a, 37.1665, 37.3701
a, 37.5076, 37.1931
a, 37.5129, 35.9825
a, 37.7709, 37.8387
a, 37.2517, 37.2288
a, 37.2374, 37.5287
a, 37.9267, 38.1621
a, 37.4169, 35.3744
a, 37.3141, 36.4543
a, 37.23, 37.6064
a, 37.4961, 37.7432
a, 37.7253, 35.7223
a, 37.9449, 38.1912
a, 37.3632, 36.2126
a, 37.342, 37.2825
a, 37.4671, 37.0815
a, 37.2771, 37.5664
a, 37.2402, 37.3183
a, 37.5108, 37.8555
a, 37.2338, 37.6832
a, 37.2798, 37.5147
a, 37.3859, 37.5711
a, 37.9218, 38.3507
a, 36.2189, 38.5858
a, 37.6971, 39.733
a, 36.9969, 38.4481
a, 38.5932, 38.4608
a, 37.2692, 37.5015
a, 37.4151, 37.6972
a, 37.2777, 37.1879
a, 37.1146, 37.7306
a, 37.5433, 37.7478
a, 37.2365, 37.2414
a, 37.2359, 37.6193
a, 37.0023, 36.6017
a, 37.2284, 36.1483
a, 37.3794, 36.1456
a, 37.2149, 37.5105
a, 37.7314, 38.0152
a, 37.3025, 37.3365
a, 37.1939, 37.4129
a, 37.2835, 37.5998
a, 37.1489, 37.624
a, 37.4779, 37.6116
a, 39.4245, 36.2654
a, 37.2868, 37.4954
a, 37.9355, 38.1768
a, 37.2288, 36.4013
a, 37.1847, 37.6405
a, 37.6139, 37.9633
a, 34.8221, 40.2157
a, 37.6503, 37.9241
a, 37.4184, 37.7789
a, 37.264, 37.5957
a, 36.9965, 37.2968
a, 37.2563, 37.1353
a, 37.7748, 39.2937
a, 38.5973, 38.0401
a, 28.2178, 39.691
a, 36.8756, 36.3954
a, 38.2275, 37.7535
a, 37.1863, 37.6845
