type, x coordinate, y coordinate
a, 31.4234, 30.6973
a, 30.9461, 30.8966
a, 31.3121, 31.3052
a, 31.5371, 30.8035
a, 31.2965, 30.881
a, 31.3002, 30.8815
a, 31.2816, 30.8264
a, 31.2267, 31.2701
a, 31.342, 30.9203
a, 30.7906, 30.7563
a, 28.972, 29.0509
a, 31.252, 30.9292
a, 31.2339, 31.3006
a, 31.2024, 30.8353
a, 31.2393, 31.5253
a, 31.2381, 31.2913
a, 30.9302, 30.5324
a, 31.2887, 31.123
a, 34.8314, 35.0742
a, 35.1272, 25.0991
a, 31.3119, 30.6474
a, 31.2795, 30.8528
a, 27.6381, 34.9116
a, 34.6856, 32.9204
a, 31.2955, 31.2536
a, 31.2212, 29.0102
a, 26.7191, 32.7697
a, 31.2983, 30.8989
a, 31.2526, 31.2704
a, 31.2237, 31.3113
a, 31.2365, 31.293
a, 31.3048, 30.8433
a, 32.9826, 33.6708
a, 31.5334, 30.8322
a, 31.3303, 30.8752
a, 31.3195, 31.2653
a, 31.277, 31.2734
a, 30.5841, 30.5487
a, 31.2213, 30.851
a, 31.3484, 30.8361
a, 31.1539, 30.9328
a, 31.3308, 30.8843
a, 32.2473, 30.3319
a, 31.2476, 30.5431
a, 31.2809, 30.933
a, 31.0742, 31.1511
a, 31.1745, 31.2841
a, 31.0751, 30.9344
a, 31.2819, 31.2183
a, 31.3149, 31.301
a, 31.2408, 31.2598
a, 31.2811, 30.9382
a, 31.2906, 30.8381
a, 31.8751, 30.4848
a, 31.3465, 31.3441
a, 31.3035, 30.871
a, 31.1854, 31.2601
a, 31.2713, 30.9849
a, 31.2234, 31.0622
a, 31.2855, 31.1963
a, 30.0219, 30.5896
a, 30.3938, 30.824
a, 31.2645, 30.8523
a, 31.5675, 30.8211
a, 31.1952, 31.3018
a, 30.9354, 30.5429
a, 32.8194, 29.1039
a, 31.3512, 30.8272
a, 31.2833, 30.933
a, 31.2773, 31.2417
a, 30.9696, 31.4748
a, 31.4096, 30.8804
a, 31.0683, 30.9698
a, 31.8088, 30.5348
a, 33.2812, 32.365
a, 31.2597, 31.2121
a, 31.2812, 30.9276
a, 31.2902, 30.9096
a, 31.2856, 31.236
a, 31.2632, 31.3021
a, 31.3755, 30.8933
a, 31.0727, 31.1593
a, 31.312, 30.8175
a, 31.2354, 31.2177
a, 31.2645, 31.0266
a, 31.0415, 30.6428
a, 31.1473, 30.9866
a, 30.7854, 30.8205
a, 30.8152, 30.6904
a, 31.4201, 30.883
a, 30.8923, 30.9903
a, 31.2477, 30.8691
a, 31.2114, 30.8885
a, 31.2308, 31.3035
a, 31.2831, 30.9124
a, 31.3984, 30.8783
a, 31.1715, 32.0938
a, 31.2822, 30.9332
a, 31.1766, 31.2794
a, 31.3724, 30.874
a, 31.2903, 30.9261
a, 32.6423, 30.9991
a, 31.3325, 30.8618
a, 31.1711, 32.064
a, 32.4328, 34.0716
a, 31.4334, 30.624
a, 31.3439, 30.8353
a, 31.2214, 31.1966
a, 31.1901, 31.3063
a, 30.9623, 30.8968
a, 31.4302, 30.8073
a, 31.303, 30.8927
a, 31.2739, 30.9443
a, 31.1808, 31.309
a, 31.2538, 30.9676
a, 31.3946, 30.8766
a, 31.3069, 30.8308
a, 31.1294, 31.3605
a, 31.2783, 30.9422
a, 28.0283, 37.0152
a, 31.3949, 30.9004
a, 31.2807, 30.985
a, 31.1014, 30.9076
a, 31.229, 31.2715
a, 33.3551, 28.5764
a, 31.2847, 30.9367
a, 31.3289, 30.7726
a, 31.5183, 30.787
a, 31.4776, 30.7962
a, 31.2339, 31.3005
a, 31.3494, 30.6064
a, 31.183, 31.4751
a, 31.3492, 30.8612
a, 31.1704, 31.2583
a, 31.2943, 31.271
a, 31.8314, 31.6391
a, 31.1523, 30.9113
a, 30.7257, 30.7008
a, 31.3068, 31.3099
a, 31.1536, 31.2331
a, 31.4413, 30.6363
a, 33.4455, 30.2418
a, 31.3103, 31.2945
a, 31.3399, 30.5194
a, 31.5458, 30.8235
a, 31.1489, 31.0013
a, 31.1485, 31.0093
a, 31.2697, 31.2526
a, 31.3174, 31.267
a, 31.2856, 30.9131
a, 31.2983, 31.2524
a, 31.2944, 30.9005
a, 25.2641, 26.4156
a, 30.8419, 30.9099
a, 31.2335, 30.7963
a, 29.9326, 29.1395
a, 31.8245, 30.9874
a, 31.2885, 31.246
a, 30.8586, 30.8411
a, 31.8391, 32.2639
a, 31.2557, 31.2055
a, 31.2566, 30.8656
a, 31.3121, 31.3282
a, 31.3262, 30.888
a, 31.3457, 30.8567
a, 31.2976, 30.9002
a, 31.2368, 31.3295
a, 31.2421, 31.2896
a, 31.5538, 30.8133
a, 31.396, 30.8771
a, 31.3441, 30.8968
a, 31.3956, 30.8767
a, 22.0427, 42.2969
a, 31.1814, 30.7673
a, 31.8038, 30.5795
a, 25.4231, 26.9132
a, 31.2234, 30.5823
a, 31.0643, 30.8609
a, 31.0963, 30.7861
a, 31.369, 30.873
a, 31.3107, 30.844
a, 31.2296, 31.3027
a, 31.2819, 30.8374
a, 31.313, 31.3289
a, 31.2511, 31.3274
a, 31.4157, 30.6038
a, 33.1758, 28.961
a, 31.2216, 31.3553
a, 31.3262, 30.8758
a, 31.3127, 30.8794
a, 30.8564, 30.885
a, 31.251, 31.3274
a, 31.4296, 30.8046
a, 31.3951, 30.8769
a, 31.3783, 30.6695
a, 31.3415, 31.1284
a, 31.1079, 30.8072
a, 31.2125, 30.8953
a, 31.2627, 30.8373
a, 32.8585, 31.9194
a, 31.2951, 30.8777
a, 31.3118, 30.8653
a, 31.3759, 30.8938
a, 31.3294, 30.8894
a, 31.183, 31.1962
a, 30.5899, 30.5505
a, 29.1983, 31.2251
a, 31.5935, 31.1876
a, 31.2281, 30.8474
a, 29.548, 30.2846
a, 31.2592, 31.4659
a, 31.3782, 30.8667
a, 31.2807, 30.9426
a, 31.4249, 30.6589
a, 31.3018, 30.8411
a, 31.3386, 30.837
a, 31.1834, 31.3288
a, 31.3912, 30.876
a, 28.9319, 31.611
a, 31.2813, 30.9412
a, 31.1838, 31.2848
a, 31.2984, 31.2683
a, 31.2964, 30.6229
a, 31.3894, 30.8749
a, 31.4003, 31.112
a, 31.2367, 31.2334
a, 31.3773, 30.9191
a, 31.1632, 31.2517
a, 27.9899, 31.9613
a, 27.3846, 33.1469
a, 31.2944, 30.889
a, 29.7986, 30.4682
a, 31.3134, 30.8807
a, 31.3161, 31.329
a, 31.3215, 30.9061
a, 31.3659, 30.8605
a, 31.4339, 30.6257
a, 31.3124, 30.8555
a, 31.311, 30.8424
a, 31.254, 31.1712
a, 31.2667, 31.109
a, 31.3059, 30.8922
a, 31.1004, 30.7307
a, 31.2773, 30.9131
a, 31.2348, 31.3019
a, 31.4858, 30.7875
a, 31.374, 31.285
a, 31.3422, 30.9166
a, 31.2482, 31.295
a, 31.2332, 31.2875
a, 31.2912, 30.9001
a, 31.314, 30.9172
a, 31.3468, 30.8315
a, 33.4034, 31.808
a, 31.2947, 30.897
a, 31.5345, 30.821
a, 31.2899, 30.9029
a, 29.7723, 30.2466
a, 31.2423, 30.8043
a, 31.3891, 30.6644
a, 31.5224, 31.0302
a, 30.941, 30.9283
a, 31.4062, 31.1014
a, 35.3318, 26.033
a, 33.8365, 31.0709
a, 31.2772, 30.8267
a, 31.832, 30.4466
a, 31.0925, 31.0905
a, 31.3911, 30.8755
a, 31.294, 31.234
a, 31.2505, 30.8818
a, 30.512, 30.5194
a, 31.1758, 31.3114
a, 30.9942, 31.0813
a, 31.312, 31.3076
a, 31.3246, 31.2612
a, 30.8928, 30.9036
a, 31.2849, 30.9403
a, 31.2576, 31.1668
a, 31.283, 30.932
a, 31.3332, 30.8603
a, 31.0523, 31.4023
a, 32.1869, 29.9668
a, 31.1791, 31.3943
a, 31.3144, 30.8844
a, 31.2713, 30.8139
a, 31.269, 31.2227
a, 31.2339, 30.8866
a, 31.3251, 30.8888
a, 38.5493, 38.3076
a, 31.2485, 31.3949
a, 30.9316, 30.9837
a, 30.8177, 30.8352
a, 31.7153, 31.2034
a, 31.295, 30.8993
a, 31.2408, 30.8479
a, 31.3017, 31.2794
a, 31.2131, 31.1864
a, 31.3103, 30.8779
a, 31.2694, 30.893
a, 31.3074, 30.8785
a, 31.2189, 31.2709
a, 31.3111, 30.9037
a, 31.4927, 30.5648
a, 31.4202, 30.6394
a, 31.257, 31.1872
a, 31.2694, 30.859
a, 31.2907, 31.2662
a, 31.1854, 30.7279
a, 30.9709, 30.789
a, 31.5321, 30.6228
a, 31.2884, 31.2715
a, 31.3985, 30.8778
a, 32.1297, 31.393
a, 31.2861, 31.2286
a, 31.766, 30.4886
a, 30.5033, 30.5157
a, 31.2475, 31.205
a, 31.1671, 31.2709
a, 31.4044, 30.8792
a, 31.3005, 30.9329
a, 31.4278, 30.6402
a, 31.3428, 30.8756
a, 31.4312, 30.7661
a, 31.2331, 30.8835
a, 31.349, 30.8224
a, 33.4493, 35.9976
a, 31.2557, 31.2053
a, 28.2098, 30.2199
a, 31.3052, 30.8705
a, 31.4046, 30.8788
a, 31.2645, 30.9086
a, 31.3102, 30.6483
a, 31.2591, 30.9426
a, 31.7923, 31.865
a, 31.2637, 30.8126
a, 31.3498, 30.8813
a, 31.2746, 30.8813
a, 35.7337, 33.5543
a, 32.4516, 32.2089
a, 31.2998, 30.8694
a, 31.1989, 31.1919
a, 30.3977, 30.4711
a, 30.7986, 30.4358
a, 31.3572, 30.7655
a, 31.5452, 30.9242
a, 31.1771, 31.3119
a, 31.5631, 31.2179
a, 32.1348, 31.3207
a, 31.2798, 31.2202
a, 31.1954, 30.8778
a, 30.6016, 30.5552
a, 31.4075, 30.6815
a, 30.7875, 31.0697
a, 31.5591, 30.8087
a, 31.3511, 30.8846
a, 31.5942, 30.6059
a, 31.2985, 30.6573
a, 31.405, 30.8789
a, 31.3677, 30.8875
a, 31.2538, 31.205
a, 31.2146, 30.8493
a, 31.376, 30.8752
a, 31.1553, 31.2584
a, 31.1887, 30.8413
a, 31.392, 30.8347
a, 31.3762, 30.8722
a, 31.3115, 31.3263
a, 31.2593, 31.2004
a, 31.2885, 30.8655
a, 31.3969, 30.8774
a, 30.9675, 30.9541
a, 31.3232, 30.8594
a, 31.2735, 30.8509
a, 31.3093, 30.8735
a, 31.3651, 30.8603
a, 31.2028, 30.8085
a, 31.315, 30.8718
a, 31.297, 30.8406
a, 31.3136, 30.8822
a, 30.5552, 25.41
a, 29.4547, 29.0291
a, 31.2307, 30.8423
a, 31.3029, 30.6506
a, 33.3648, 30.4602
a, 31.2296, 31.2891
a, 31.2617, 31.3143
a, 31.1663, 31.2652
a, 31.3646, 30.8589
a, 31.2766, 30.8247
a, 31.2171, 30.8492
a, 31.4384, 30.6295
a, 31.3336, 30.8146
a, 31.1798, 31.2877
a, 31.316, 30.9352
a, 31.4487, 31.2082
a, 31.2791, 31.2438
a, 31.1879, 31.2745
a, 31.295, 30.8854
a, 31.1462, 30.9252
a, 31.2538, 31.3405
a, 31.2875, 30.9278
a, 31.3711, 30.8916
a, 31.4684, 30.7586
a, 31.3052, 31.305
a, 30.6986, 31.1283
a, 31.3074, 30.8637
a, 31.4008, 30.8783
a, 31.4011, 30.9064
a, 31.3442, 30.8872
a, 31.1809, 31.3138
a, 31.3131, 30.9146
a, 31.3466, 31.3618
a, 31.3244, 30.8999
a, 31.2642, 30.8508
a, 33.0578, 35.7254
a, 30.8474, 31.5605
a, 30.8312, 30.7054
a, 31.6984, 30.5627
a, 31.3017, 30.8298
a, 31.2342, 31.2581
a, 31.388, 30.881
a, 34.7223, 28.8494
a, 31.2804, 30.9415
a, 31.3106, 31.3173
a, 31.0607, 30.809
a, 31.4294, 31.4239
a, 30.8216, 30.8306
a, 31.1883, 31.1911
a, 30.2142, 30.7775
a, 30.8559, 30.9709
a, 31.2194, 31.2055
a, 28.0283, 37.0151
a, 31.2807, 30.9397
a, 31.288, 30.9775
a, 31.2463, 30.8154
a, 31.1982, 31.1919
a, 30.8647, 30.9324
a, 31.1757, 31.3432
a, 31.1416, 31.1819
a, 31.3175, 31.2584
a, 31.2914, 30.93
a, 31.2761, 31.358
a, 31.085, 31.3432
a, 36.0807, 32.1356
a, 31.1747, 31.3218
a, 30.8859, 30.8228
a, 31.3756, 30.8923
a, 31.2741, 30.8514
a, 31.2299, 31.2895
a, 31.2168, 30.836
a, 31.3411, 30.893
a, 31.1947, 31.2809
a, 26.7752, 25.8378
a, 31.233, 31.3252
a, 31.3811, 30.8956
a, 31.1963, 31.2948
a, 31.2962, 30.9006
a, 31.1878, 32.3859
a, 32.5535, 34.6187
a, 31.1827, 30.8991
a, 31.5524, 30.8083
a, 30.8371, 30.8526
a, 31.3371, 30.8892
a, 31.3473, 30.8598
a, 31.4555, 30.914
a, 31.3438, 30.8631
a, 33.2457, 35.3733
a, 31.4958, 30.8129
a, 31.3403, 30.9207
a, 31.438, 30.6095
a, 30.9359, 30.5433
a, 31.2566, 31.2724
a, 31.6113, 30.777
a, 31.3709, 30.8902
a, 31.4752, 31.1099
a, 31.2899, 30.9455
a, 31.1864, 30.802
a, 31.0091, 30.6755
a, 31.385, 30.8978
a, 31.694, 30.0869
a, 29.3935, 30.4937
a, 31.1857, 31.1488
a, 31.2247, 30.8962
a, 31.2929, 30.8301
a, 31.2605, 31.2337
a, 31.3254, 30.8882
a, 30.7983, 30.9763
a, 31.341, 30.8816
a, 30.9185, 30.9142
a, 31.4857, 30.6536
a, 31.2916, 30.8296
a, 31.3203, 31.4347
a, 31.9003, 30.4413
a, 31.2323, 31.3042
a, 31.1773, 30.8089
a, 30.8599, 30.9431
a, 31.4109, 30.8812
a, 31.4124, 30.8811
a, 31.0068, 31.3738
a, 31.2547, 31.4226
a, 31.1805, 31.217
a, 31.2368, 31.3102
a, 35.7066, 30.9246
a, 31.2944, 30.6509
a, 31.2196, 31.0946
a, 30.7329, 29.5897
a, 31.3797, 30.8952
a, 31.3556, 30.9177
a, 31.1765, 31.291
a, 31.5008, 30.8989
a, 31.2369, 31.2938
a, 31.3227, 30.8812
a, 31.2974, 30.8865
a, 31.1801, 31.2822
a, 31.2954, 31.2556
a, 34.3972, 31.8351
a, 31.179, 31.2692
a, 31.382, 30.8737
a, 31.1799, 31.3006
a, 31.3166, 31.2487
a, 31.1254, 30.9606
a, 31.1846, 30.8915
a, 31.2305, 31.2891
a, 31.3346, 30.9156
a, 31.2827, 30.9115
a, 30.7608, 30.6362
a, 31.2984, 30.8898
a, 30.6138, 31.0393
a, 31.2121, 31.2909
a, 31.4143, 30.666
a, 31.342, 30.8788
a, 31.2314, 31.2899
a, 31.2862, 30.9299
a, 30.2864, 30.4233
a, 31.3054, 30.8495
a, 31.3951, 30.8769
a, 32.6957, 27.1573
a, 31.2987, 30.8993
a, 31.221, 30.8498
a, 31.3556, 30.8203
a, 31.186, 31.3014
a, 30.7941, 30.6092
a, 31.2838, 30.9401
a, 31.2942, 30.8978
a, 29.2105, 30.825
a, 31.2913, 30.8339
a, 31.3012, 30.8336
a, 31.3195, 30.9031
a, 31.743, 30.438
a, 31.331, 30.8969
a, 31.2843, 30.9404
a, 31.2847, 30.7827
a, 31.3119, 30.9161
a, 31.2356, 31.2043
a, 31.2949, 30.8977
a, 31.2432, 31.3001
a, 31.3612, 31.3461
a, 31.0028, 31.3311
a, 35.3332, 33.1047
a, 31.1746, 30.8767
a, 28.3859, 29.9511
a, 30.9963, 31.0441
a, 31.3472, 30.9249
a, 31.2951, 30.898
a, 31.5153, 30.8173
a, 31.2369, 31.2264
a, 31.5496, 31.8604
a, 31.2923, 30.779
a, 33.7043, 29.3562
a, 31.246, 31.3231
a, 31.2634, 30.7718
a, 31.3098, 31.291
a, 31.3897, 30.876
a, 31.3086, 31.1053
a, 31.182, 30.8968
a, 31.2567, 31.2088
a, 31.1364, 32.2083
a, 29.7439, 31.3303
a, 30.6185, 30.594
a, 31.3774, 30.8826
a, 31.2937, 30.8209
a, 31.2933, 30.8422
a, 29.3693, 31.2768
a, 31.2629, 30.8083
a, 31.3151, 30.842
a, 31.0009, 30.6325
a, 30.7839, 30.8441
a, 31.4377, 31.1943
a, 31.3406, 30.8405
a, 31.2899, 31.2832
a, 31.3318, 30.9135
a, 34.3153, 29.7716
a, 31.6328, 30.7139
a, 31.3161, 30.8803
a, 31.18, 31.3022
a, 31.3906, 30.8762
a, 31.2906, 30.9039
a, 31.5514, 30.8076
a, 31.5903, 30.7881
a, 31.2558, 30.5476
a, 31.3265, 30.8436
a, 29.6524, 30.4263
a, 31.9216, 30.3667
a, 31.3982, 30.8806
a, 37.8477, 35.5653
a, 31.2757, 30.834
a, 31.0155, 30.585
a, 31.4061, 30.9091
a, 31.2892, 30.8778
a, 29.8518, 29.5447
a, 31.2683, 30.869
a, 31.3969, 30.9037
a, 31.1328, 31.347
a, 31.8073, 30.4068
a, 31.3802, 30.8957
a, 30.9695, 31.4038
a, 33.2556, 33.6739
a, 31.3937, 30.8992
a, 31.2367, 31.2929
a, 31.1781, 31.3193
a, 31.2834, 31.2829
a, 29.8778, 30.6127
a, 31.3268, 30.8466
a, 31.3222, 30.8928
a, 31.1886, 31.1545
a, 30.3862, 30.6552
a, 31.0859, 30.9717
a, 31.2813, 30.8918
a, 31.1609, 31.3582
a, 31.3131, 30.8822
a, 31.5012, 30.6142
a, 34.3094, 29.0032
a, 31.2616, 31.2767
a, 31.5515, 30.806
a, 31.5069, 30.7947
a, 31.3309, 30.9271
a, 31.1403, 31.1437
a, 37.3854, 37.6271
a, 31.3531, 31.3363
a, 33.799, 31.5579
a, 31.2997, 31.1171
a, 31.2922, 30.897
a, 26.9132, 29.0228
a, 31.106, 31.3455
a, 31.3358, 30.8624
a, 31.2916, 30.9209
a, 31.9642, 28.4806
a, 31.1844, 30.8996
a, 31.0909, 31.3304
a, 31.2847, 30.9385
a, 31.3809, 30.8473
a, 31.0341, 30.7873
a, 31.1762, 31.29
a, 31.3235, 31.3143
a, 31.2584, 31.1852
a, 31.3029, 31.2491
a, 31.1835, 31.2986
a, 30.9176, 30.8786
a, 31.2483, 31.3188
a, 29.5129, 29.777
a, 30.7056, 30.1595
a, 31.4067, 31.3381
a, 30.8484, 30.745
a, 31.3019, 30.8982
a, 31.3096, 30.884
a, 31.4035, 31.0325
a, 31.5487, 30.8128
a, 31.2323, 31.2967
a, 31.3935, 30.9019
a, 31.3837, 30.8968
a, 31.4125, 30.7126
a, 31.1398, 30.8473
a, 31.3047, 30.8829
a, 31.2401, 31.2969
a, 31.1462, 31.0175
a, 31.3606, 30.8837
a, 30.1232, 30.1609
a, 31.328, 30.8496
a, 31.2433, 31.2375
a, 31.2958, 30.8335
a, 31.3038, 31.2313
a, 31.3457, 30.91
a, 31.3038, 30.8871
a, 31.2989, 31.2787
a, 31.3953, 30.877
a, 31.319, 30.8531
a, 35.4536, 24.5657
a, 31.1984, 30.829
a, 31.2502, 31.2696
a, 30.8295, 30.9559
a, 31.3218, 30.9073
a, 31.1202, 31.0886
a, 31.403, 30.7538
a, 31.2462, 30.9233
a, 31.167, 30.8789
a, 30.7996, 30.8295
a, 31.1533, 30.9152
a, 25.466, 26.8654
a, 31.4951, 30.6558
a, 31.5541, 31.2066
a, 31.3347, 30.8886
a, 31.1223, 31.0287
a, 31.3461, 31.245
a, 31.2833, 30.9133
a, 31.0063, 31.0118
a, 31.3741, 30.8832
a, 42.7966, 28.2223
a, 31.2982, 31.2709
a, 31.2346, 30.8514
a, 25.9711, 27.0151
a, 31.5029, 30.7954
a, 30.7894, 30.2551
a, 31.2985, 30.8983
a, 33.7141, 33.6338
a, 31.2376, 31.294
a, 31.2355, 31.2747
a, 31.2934, 31.2618
a, 31.2943, 30.8231
a, 31.291, 31.0329
a, 31.3089, 30.889
a, 31.2745, 31.1326
a, 31.1824, 31.4237
a, 31.2747, 30.9884
a, 31.3395, 30.8403
a, 31.1803, 31.2937
a, 31.2815, 30.9335
a, 31.1819, 31.3047
a, 27.1292, 26.0391
a, 31.1748, 31.3004
a, 31.4679, 30.9417
a, 31.244, 31.2931
a, 31.2455, 31.2967
a, 31.2163, 32.1305
a, 31.309, 30.8972
a, 31.1962, 31.0568
a, 31.3348, 30.8182
a, 31.3064, 30.8815
a, 31.2725, 31.246
a, 30.7532, 30.8261
a, 31.178, 31.536
a, 31.307, 30.8798
a, 31.3794, 30.8954
a, 31.4237, 30.6703
a, 31.3921, 31.396
a, 31.1632, 30.5868
a, 31.5504, 30.8123
a, 31.218, 31.3104
a, 31.3101, 30.9297
a, 31.2956, 30.8969
a, 31.3623, 31.409
a, 31.4049, 30.8793
a, 31.9316, 30.4118
a, 30.1292, 30.7038
a, 30.851, 30.8327
a, 34.135, 30.5698
a, 31.3435, 30.8916
a, 31.3, 30.8991
a, 31.2465, 31.2937
a, 34.3116, 30.6911
a, 31.2326, 31.3042
a, 31.3379, 30.8907
a, 31.4073, 30.5654
a, 31.2397, 31.2886
a, 31.3062, 31.2556
a, 31.2175, 30.8364
a, 31.1841, 31.3302
a, 31.0266, 30.933
a, 29.0318, 30.5352
a, 31.2325, 30.8576
a, 30.772, 30.6532
a, 31.3535, 30.8446
a, 30.4694, 29.7731
a, 31.3033, 30.8902
a, 31.1635, 31.2853
a, 31.2947, 30.8373
a, 31.2851, 30.9331
a, 32.6151, 33.4805
a, 31.484, 30.7865
a, 31.1348, 31.1749
a, 31.1968, 31.1863
a, 31.3183, 30.884
a, 30.8957, 30.9057
a, 31.2319, 31.2697
a, 29.702, 30.2438
a, 30.5614, 30.6768
a, 31.2871, 30.9357
a, 31.3213, 30.9173
a, 31.2993, 31.2571
a, 31.2734, 30.8509
a, 31.2496, 31.2086
a, 31.3116, 30.8759
a, 31.2031, 31.1867
a, 31.2914, 30.9276
a, 31.3806, 30.8743
a, 31.2756, 30.9139
a, 31.4049, 30.9158
a, 31.3165, 31.3311
a, 30.9538, 30.9412
a, 31.306, 30.8431
a, 31.2912, 30.929
a, 31.3355, 30.6504
a, 31.2095, 30.8856
a, 31.1826, 31.1796
a, 31.3516, 30.8569
a, 31.173, 31.2559
a, 31.4101, 30.8684
a, 31.9034, 35.7443
a, 31.3106, 30.8597
a, 31.3307, 30.8845
a, 30.7431, 31.7172
a, 31.1725, 31.2567
a, 31.1151, 30.9558
a, 31.4951, 30.6625
a, 31.3108, 30.9066
a, 31.3086, 31.3116
a, 30.5918, 30.6717
a, 31.3347, 30.926
a, 31.297, 30.9285
a, 31.308, 30.8965
a, 31.357, 30.8979
a, 31.3422, 30.8614
a, 31.2323, 31.309
a, 31.2553, 31.2765
a, 31.3139, 31.3212
a, 31.843, 31.095
a, 31.157, 31.174
a, 31.2428, 31.2618
a, 30.8939, 30.9318
a, 31.1708, 31.261
a, 30.196, 28.6345
a, 31.2322, 31.2975
a, 31.5267, 30.9261
a, 31.3611, 30.8578
a, 31.2693, 30.8121
a, 31.3957, 30.9033
a, 31.328, 30.8493
a, 31.3557, 30.8716
a, 30.7565, 30.7977
a, 31.5654, 30.6192
a, 31.2591, 30.9427
a, 31.3282, 30.8974
a, 31.2255, 31.1859
a, 31.294, 30.8987
a, 31.0901, 31.0412
a, 30.7559, 30.8715
a, 31.3228, 30.8408
a, 31.4805, 30.7954
a, 31.1834, 31.1799
a, 31.3676, 30.8682
a, 31.2598, 31.0141
a, 31.1778, 31.4095
a, 32.052, 31.3497
a, 31.3102, 31.3123
a, 31.5019, 30.6566
a, 31.3424, 30.881
a, 31.1782, 31.3315
a, 31.3244, 30.9013
a, 31.0897, 30.9204
a, 30.8521, 30.8307
a, 31.3557, 30.8765
a, 31.3716, 30.8963
a, 31.2959, 30.904
a, 31.3175, 31.3076
a, 31.807, 30.4886
a, 31.5995, 31.722
a, 31.2445, 30.8915
a, 30.9392, 30.6465
a, 31.3756, 30.8576
a, 30.6324, 30.0043
a, 31.4932, 31.3443
a, 31.3781, 30.8745
a, 31.1565, 31.1793
a, 31.3018, 30.8722
a, 31.1763, 31.2886
a, 31.2322, 31.2865
a, 31.3944, 30.9022
a, 30.8717, 30.8332
a, 26.8863, 32.852
a, 31.3141, 30.8817
a, 32.809, 29.6669
a, 31.2571, 31.2066
a, 30.8244, 30.827
a, 31.2382, 31.2273
a, 31.2702, 31.2168
a, 31.314, 31.2426
a, 31.0261, 31.267
a, 31.1803, 31.316
a, 31.2138, 30.9353
a, 31.3348, 30.8729
a, 31.3006, 30.8014
a, 31.0304, 30.8904
a, 31.2718, 30.8517
a, 31.2787, 31.2486
a, 32.1506, 31.7866
a, 31.2912, 30.9087
a, 31.4953, 30.6135
a, 31.5479, 30.7986
a, 31.3781, 30.8827
a, 31.2972, 30.8957
a, 31.1197, 30.8538
a, 35.8727, 35.3297
a, 31.2548, 31.1631
a, 31.4799, 31.1487
a, 31.3287, 30.8785
a, 31.3479, 30.8673
a, 31.1766, 31.6506
a, 30.2757, 29.4141
a, 31.1747, 31.3228
a, 30.1519, 29.4284
a, 31.1803, 31.53
a, 31.1816, 30.8987
a, 30.6015, 30.5554
a, 31.3011, 31.2782
a, 31.6213, 30.9814
a, 31.0772, 30.8314
a, 31.292, 30.9071
a, 32.898, 31.607
a, 31.2637, 30.8244
a, 31.3606, 30.884
a, 31.2451, 31.3022
a, 31.2995, 30.8718
a, 31.2032, 31.2785
a, 31.3159, 31.3285
a, 31.3229, 30.8381
a, 31.2796, 30.9339
a, 31.2794, 30.9184
a, 31.1927, 31.2663
a, 31.325, 30.8719
a, 31.4009, 30.8785
a, 32.9695, 29.8532
a, 31.9226, 30.4573
a, 31.3033, 30.6151
a, 31.5106, 30.6058
a, 31.3092, 30.8806
a, 31.3962, 30.9036
a, 31.3491, 30.8877
a, 31.2552, 30.99
a, 31.5045, 31.1523
a, 31.7012, 30.9668
a, 28.4441, 31.498
a, 31.3861, 30.8746
a, 31.1796, 31.191
a, 31.2934, 31.1981
a, 31.1562, 30.7065
a, 31.3383, 30.8365
a, 31.2661, 31.1916
a, 31.1355, 31.1751
a, 31.0301, 30.9156
a, 31.3038, 30.8826
a, 31.0657, 30.6822
a, 31.1761, 31.2942
a, 31.8667, 30.4765
a, 32.8344, 29.3014
a, 31.634, 31.2549
a, 29.8136, 33.4483
a, 31.2066, 31.1735
a, 31.3087, 30.8772
a, 31.3067, 30.8327
a, 31.3184, 31.2615
a, 31.1771, 31.3239
a, 31.1798, 31.3025
a, 28.7418, 24.2541
a, 31.3507, 30.6425
a, 31.053, 30.8419
a, 31.3387, 30.8899
a, 31.3412, 30.8412
a, 31.1768, 31.3331
a, 31.3015, 30.9146
a, 31.3379, 30.8343
a, 31.2964, 30.8984
a, 31.3091, 31.2317
a, 31.4806, 31.5193
a, 32.3309, 32.1238
a, 31.1957, 31.2342
a, 31.2909, 31.2379
a, 31.1726, 30.9915
a, 32.7703, 34.2272
a, 31.1773, 31.5914
a, 31.34, 30.8
a, 29.0072, 29.5315
a, 31.314, 30.8612
a, 31.3919, 30.8968
a, 31.367, 30.8595
a, 31.3098, 30.8657
a, 31.4707, 30.7626
a, 31.2658, 30.8388
a, 31.373, 31.3531
a, 31.2437, 31.2698
a, 31.1788, 30.8808
a, 30.836, 30.7975
a, 31.5752, 30.7932
a, 31.4926, 30.7783
a, 31.1364, 31.1756
a, 31.3142, 30.8426
a, 31.2506, 31.1942
a, 31.2818, 30.9153
