type, x coordinate, y coordinate
a, 31.4231, 30.6969
a, 30.9455, 30.8961
a, 31.3112, 31.3044
a, 31.5367, 30.8031
a, 31.296, 30.8805
a, 31.2997, 30.881
a, 31.2812, 30.826
a, 31.226, 31.2692
a, 31.3415, 30.9198
a, 30.79, 30.7557
a, 28.9718, 29.0507
a, 31.2514, 30.9286
a, 31.233, 31.2996
a, 31.2019, 30.8348
a, 31.2385, 31.5245
a, 31.2372, 31.2904
a, 30.9294, 30.5316
a, 31.2879, 31.1222
a, 34.8312, 35.074
a, 35.1271, 25.0989
a, 31.3115, 30.647
a, 31.279, 30.8523
a, 27.6379, 34.9115
a, 34.6855, 32.9203
a, 31.2948, 31.2529
a, 31.2211, 29.01
a, 26.719, 32.7695
a, 31.2978, 30.8984
a, 31.2518, 31.2696
a, 31.2229, 31.3105
a, 31.2356, 31.2921
a, 31.3044, 30.8429
a, 32.9823, 33.6705
a, 31.533, 30.8318
a, 31.3299, 30.8748
a, 31.3188, 31.2647
a, 31.2763, 31.2727
a, 30.5837, 30.5483
a, 31.2209, 30.8505
a, 31.3479, 30.8356
a, 31.1532, 30.9322
a, 31.3304, 30.8839
a, 32.2471, 30.3317
a, 31.2473, 30.5428
a, 31.2804, 30.9325
a, 31.0734, 31.1503
a, 31.1737, 31.2833
a, 31.0745, 30.9338
a, 31.2812, 31.2176
a, 31.3142, 31.3002
a, 31.24, 31.2589
a, 31.2805, 30.9377
a, 31.2902, 30.8377
a, 31.8747, 30.4845
a, 31.3457, 31.3433
a, 31.303, 30.8706
a, 31.1846, 31.2593
a, 31.2705, 30.9842
a, 31.2225, 31.0613
a, 31.2847, 31.1956
a, 30.0217, 30.5894
a, 30.3937, 30.8239
a, 31.2641, 30.8519
a, 31.5671, 30.8207
a, 31.1943, 31.3009
a, 30.9346, 30.5421
a, 32.8191, 29.1037
a, 31.3508, 30.8268
a, 31.2828, 30.9324
a, 31.2766, 31.241
a, 30.9688, 31.474
a, 31.4092, 30.88
a, 31.0678, 30.9692
a, 31.8085, 30.5345
a, 33.281, 32.3647
a, 31.2589, 31.2113
a, 31.2806, 30.927
a, 31.2896, 30.909
a, 31.2848, 31.2353
a, 31.2625, 31.3013
a, 31.3751, 30.8929
a, 31.0719, 31.1585
a, 31.3117, 30.8171
a, 31.2346, 31.2169
a, 31.2639, 31.026
a, 31.0407, 30.642
a, 31.1465, 30.9858
a, 30.7848, 30.8199
a, 30.8148, 30.69
a, 31.4197, 30.8826
a, 30.8917, 30.9898
a, 31.2473, 30.8687
a, 31.2108, 30.8879
a, 31.2301, 31.3028
a, 31.2826, 30.9119
a, 31.398, 30.8779
a, 31.1708, 32.0931
a, 31.2816, 30.9327
a, 31.1758, 31.2785
a, 31.372, 30.8736
a, 31.2898, 30.9256
a, 32.6419, 30.9988
a, 31.3321, 30.8614
a, 31.1704, 32.0633
a, 32.4326, 34.0715
a, 31.433, 30.6236
a, 31.3435, 30.8349
a, 31.2207, 31.1959
a, 31.1893, 31.3054
a, 30.9617, 30.8963
a, 31.4298, 30.8069
a, 31.3025, 30.8923
a, 31.2733, 30.9437
a, 31.18, 31.3082
a, 31.2533, 30.9671
a, 31.3941, 30.8762
a, 31.3065, 30.8304
a, 31.1286, 31.3597
a, 31.2778, 30.9417
a, 28.0282, 37.015
a, 31.3945, 30.9
a, 31.2801, 30.9844
a, 31.101, 30.9072
a, 31.2283, 31.2708
a, 33.355, 28.5762
a, 31.2841, 30.9362
a, 31.3285, 30.7722
a, 31.5179, 30.7866
a, 31.4772, 30.7958
a, 31.233, 31.2996
a, 31.3491, 30.6061
a, 31.1823, 31.4743
a, 31.3487, 30.8608
a, 31.1696, 31.2576
a, 31.2935, 31.2702
a, 31.8311, 31.6388
a, 31.152, 30.911
a, 30.7252, 30.7004
a, 31.306, 31.3091
a, 31.1528, 31.2323
a, 31.4409, 30.636
a, 33.4453, 30.2417
a, 31.3095, 31.2937
a, 31.3395, 30.5191
a, 31.5454, 30.823
a, 31.1483, 31.0007
a, 31.1479, 31.0087
a, 31.269, 31.2519
a, 31.3168, 31.2663
a, 31.285, 30.9125
a, 31.2976, 31.2517
a, 31.2938, 30.9
a, 25.264, 26.4155
a, 30.8413, 30.9093
a, 31.2331, 30.7959
a, 29.9324, 29.1393
a, 31.8241, 30.987
a, 31.2878, 31.2453
a, 30.858, 30.8405
a, 31.8383, 32.2631
a, 31.2549, 31.2047
a, 31.2561, 30.8651
a, 31.3112, 31.3274
a, 31.3258, 30.8876
a, 31.3452, 30.8563
a, 31.2971, 30.8997
a, 31.2361, 31.3287
a, 31.2413, 31.2888
a, 31.5534, 30.8129
a, 31.3956, 30.8766
a, 31.3437, 30.8963
a, 31.3952, 30.8762
a, 22.0421, 42.2964
a, 31.181, 30.767
a, 31.8035, 30.5792
a, 25.4229, 26.913
a, 31.2231, 30.582
a, 31.0635, 30.8601
a, 31.0958, 30.7856
a, 31.3686, 30.8726
a, 31.3102, 30.8435
a, 31.2287, 31.3018
a, 31.2815, 30.837
a, 31.3122, 31.3281
a, 31.2502, 31.3265
a, 31.4153, 30.6035
a, 33.1757, 28.9609
a, 31.2209, 31.3547
a, 31.3258, 30.8753
a, 31.3122, 30.8789
a, 30.8558, 30.8844
a, 31.2501, 31.3265
a, 31.4292, 30.8042
a, 31.3947, 30.8764
a, 31.3779, 30.6691
a, 31.3411, 31.128
a, 31.1076, 30.8069
a, 31.2119, 30.8947
a, 31.2623, 30.8369
a, 32.8582, 31.9192
a, 31.2947, 30.8773
a, 31.3113, 30.8648
a, 31.3755, 30.8933
a, 31.3289, 30.8889
a, 31.1822, 31.1954
a, 30.5895, 30.5501
a, 29.1981, 31.225
a, 31.5927, 31.1869
a, 31.2277, 30.8469
a, 29.5478, 30.2844
a, 31.2584, 31.4651
a, 31.3778, 30.8663
a, 31.2801, 30.942
a, 31.4244, 30.6585
a, 31.3014, 30.8407
a, 31.3381, 30.8365
a, 31.1826, 31.328
a, 31.3908, 30.8755
a, 28.9317, 31.6107
a, 31.2807, 30.9406
a, 31.183, 31.284
a, 31.2977, 31.2676
a, 31.296, 30.6226
a, 31.389, 30.8745
a, 31.4, 31.1117
a, 31.2359, 31.2325
a, 31.3768, 30.9187
a, 31.1624, 31.2509
a, 27.9897, 31.9611
a, 27.3844, 33.1467
a, 31.2939, 30.8885
a, 29.7983, 30.4679
a, 31.313, 30.8802
a, 31.3153, 31.3282
a, 31.3211, 30.9056
a, 31.3655, 30.86
a, 31.4335, 30.6253
a, 31.312, 30.855
a, 31.3106, 30.842
a, 31.2533, 31.1704
a, 31.266, 31.1083
a, 31.3054, 30.8917
a, 31.0997, 30.7301
a, 31.2767, 30.9125
a, 31.2339, 31.301
a, 31.4854, 30.7871
a, 31.3732, 31.2842
a, 31.3418, 30.9161
a, 31.2475, 31.2942
a, 31.2323, 31.2866
a, 31.2907, 30.8996
a, 31.3135, 30.9168
a, 31.3463, 30.831
a, 33.4032, 31.8078
a, 31.2941, 30.8965
a, 31.5341, 30.8206
a, 31.2894, 30.9025
a, 29.7721, 30.2463
a, 31.2419, 30.8039
a, 31.3887, 30.6641
a, 31.522, 31.0298
a, 30.9404, 30.9277
a, 31.4058, 31.101
a, 35.3317, 26.0329
a, 33.8363, 31.0708
a, 31.2768, 30.8262
a, 31.8317, 30.4463
a, 31.0919, 31.0899
a, 31.3907, 30.8751
a, 31.2932, 31.2333
a, 31.2501, 30.8813
a, 30.5117, 30.519
a, 31.175, 31.3106
a, 30.9936, 31.0807
a, 31.3111, 31.3068
a, 31.3239, 31.2605
a, 30.8922, 30.903
a, 31.2843, 30.9397
a, 31.2569, 31.1661
a, 31.2825, 30.9314
a, 31.3327, 30.8598
a, 31.0515, 31.4015
a, 32.1867, 29.9666
a, 31.1783, 31.3935
a, 31.3139, 30.8839
a, 31.2709, 30.8135
a, 31.2682, 31.2219
a, 31.2333, 30.886
a, 31.3246, 30.8883
a, 38.5492, 38.3075
a, 31.2477, 31.3942
a, 30.931, 30.9831
a, 30.8171, 30.8346
a, 31.7146, 31.2028
a, 31.2945, 30.8988
a, 31.2403, 30.8474
a, 31.3009, 31.2787
a, 31.2123, 31.1856
a, 31.3098, 30.8774
a, 31.2689, 30.8925
a, 31.3069, 30.8781
a, 31.2181, 31.2702
a, 31.3106, 30.9032
a, 31.4923, 30.5644
a, 31.4198, 30.639
a, 31.2562, 31.1865
a, 31.2689, 30.8586
a, 31.29, 31.2655
a, 31.1851, 30.7276
a, 30.9705, 30.7887
a, 31.5318, 30.6224
a, 31.2876, 31.2708
a, 31.3981, 30.8773
a, 32.1293, 31.3927
a, 31.2853, 31.2278
a, 31.7657, 30.4883
a, 30.5029, 30.5153
a, 31.2467, 31.2042
a, 31.1663, 31.2701
a, 31.4039, 30.8788
a, 31.2999, 30.9324
a, 31.4274, 30.6399
a, 31.3424, 30.8751
a, 31.4308, 30.7657
a, 31.2327, 30.883
a, 31.3485, 30.822
a, 33.4491, 35.9974
a, 31.255, 31.2045
a, 28.2096, 30.2197
a, 31.3048, 30.8701
a, 31.4042, 30.8784
a, 31.2639, 30.908
a, 31.3098, 30.6479
a, 31.2587, 30.9423
a, 31.7919, 31.8646
a, 31.2633, 30.8122
a, 31.3494, 30.8809
a, 31.2741, 30.8809
a, 35.7336, 33.5542
a, 32.4514, 32.2087
a, 31.2993, 30.8689
a, 31.1981, 31.1911
a, 30.3973, 30.4707
a, 30.7983, 30.4355
a, 31.3568, 30.7651
a, 31.5449, 30.9238
a, 31.1762, 31.3111
a, 31.5624, 31.2172
a, 32.1345, 31.3204
a, 31.279, 31.2195
a, 31.1949, 30.8772
a, 30.6012, 30.5548
a, 31.4071, 30.6812
a, 30.7873, 31.0696
a, 31.5587, 30.8083
a, 31.3507, 30.8842
a, 31.5938, 30.6056
a, 31.2982, 30.6569
a, 31.4046, 30.8785
a, 31.3673, 30.8871
a, 31.253, 31.2042
a, 31.2141, 30.8488
a, 31.3756, 30.8748
a, 31.1545, 31.2575
a, 31.1882, 30.8408
a, 31.3916, 30.8343
a, 31.3758, 30.8717
a, 31.3107, 31.3255
a, 31.2586, 31.1997
a, 31.288, 30.865
a, 31.3965, 30.8769
a, 30.9669, 30.9535
a, 31.3227, 30.859
a, 31.273, 30.8504
a, 31.3088, 30.8731
a, 31.3647, 30.8598
a, 31.2023, 30.8081
a, 31.3145, 30.8713
a, 31.2965, 30.8402
a, 31.3132, 30.8817
a, 30.5551, 25.4099
a, 29.4545, 29.0289
a, 31.2303, 30.8418
a, 31.3026, 30.6503
a, 33.3647, 30.46
a, 31.2288, 31.2882
a, 31.2609, 31.3135
a, 31.1656, 31.2644
a, 31.3641, 30.8584
a, 31.2762, 30.8243
a, 31.2166, 30.8487
a, 31.438, 30.6291
a, 31.3332, 30.8143
a, 31.179, 31.2869
a, 31.3155, 30.9347
a, 31.4479, 31.2074
a, 31.2784, 31.243
a, 31.187, 31.2737
a, 31.2945, 30.885
a, 31.1456, 30.9247
a, 31.2529, 31.3396
a, 31.287, 30.9272
a, 31.3707, 30.8912
a, 31.468, 30.7581
a, 31.3044, 31.3041
a, 30.6982, 31.1281
a, 31.307, 30.8633
a, 31.4003, 30.8779
a, 31.4007, 30.906
a, 31.3437, 30.8868
a, 31.1801, 31.3129
a, 31.3126, 30.9141
a, 31.3458, 31.361
a, 31.3239, 30.8994
a, 31.2638, 30.8503
a, 33.0576, 35.7252
a, 30.8466, 31.5597
a, 30.8307, 30.7049
a, 31.698, 30.5623
a, 31.3012, 30.8293
a, 31.2334, 31.2573
a, 31.3876, 30.8806
a, 34.7222, 28.8492
a, 31.2798, 30.9409
a, 31.3098, 31.3165
a, 31.0602, 30.8086
a, 31.4287, 31.4232
a, 30.821, 30.8301
a, 31.1875, 31.1903
a, 30.2137, 30.7771
a, 30.8553, 30.9703
a, 31.2187, 31.2047
a, 28.0282, 37.015
a, 31.2801, 30.9391
a, 31.2874, 30.977
a, 31.2459, 30.815
a, 31.1974, 31.1911
a, 30.8641, 30.9318
a, 31.1748, 31.3424
a, 31.1408, 31.1811
a, 31.3167, 31.2576
a, 31.2908, 30.9295
a, 31.2753, 31.3572
a, 31.0843, 31.3424
a, 36.0806, 32.1354
a, 31.1739, 31.321
a, 30.8853, 30.8222
a, 31.3751, 30.8919
a, 31.2736, 30.8509
a, 31.229, 31.2886
a, 31.2163, 30.8356
a, 31.3406, 30.8925
a, 31.1939, 31.2801
a, 26.7751, 25.8376
a, 31.2322, 31.3245
a, 31.3807, 30.8952
a, 31.1955, 31.294
a, 31.2957, 30.9001
a, 31.1871, 32.3852
a, 32.5534, 34.6186
a, 31.1821, 30.8985
a, 31.552, 30.8078
a, 30.8366, 30.852
a, 31.3367, 30.8888
a, 31.3469, 30.8594
a, 31.4552, 30.9137
a, 31.3433, 30.8626
a, 33.2455, 35.3731
a, 31.4954, 30.8125
a, 31.3398, 30.9203
a, 31.4377, 30.6091
a, 30.9351, 30.5425
a, 31.2558, 31.2717
a, 31.6109, 30.7766
a, 31.3705, 30.8898
a, 31.4748, 31.1094
a, 31.2894, 30.9449
a, 31.1859, 30.8016
a, 31.0086, 30.675
a, 31.3846, 30.8974
a, 31.6938, 30.0867
a, 29.3933, 30.4935
a, 31.1849, 31.148
a, 31.2241, 30.8956
a, 31.2925, 30.8296
a, 31.2597, 31.2329
a, 31.3249, 30.8878
a, 30.7975, 30.9755
a, 31.3406, 30.8812
a, 30.9179, 30.9136
a, 31.4852, 30.6531
a, 31.2912, 30.8292
a, 31.3195, 31.4339
a, 31.9, 30.441
a, 31.2313, 31.3033
a, 31.1768, 30.8084
a, 30.8593, 30.9425
a, 31.4105, 30.8808
a, 31.412, 30.8806
a, 31.0061, 31.373
a, 31.2539, 31.4218
a, 31.1798, 31.2163
a, 31.236, 31.3094
a, 35.7065, 30.9244
a, 31.294, 30.6506
a, 31.2189, 31.0939
a, 30.7327, 29.5895
a, 31.3792, 30.8947
a, 31.3551, 30.9173
a, 31.1756, 31.2902
a, 31.5004, 30.8985
a, 31.236, 31.2929
a, 31.3223, 30.8807
a, 31.2969, 30.886
a, 31.1793, 31.2814
a, 31.2946, 31.2549
a, 34.397, 31.8349
a, 31.1782, 31.2683
a, 31.3815, 30.8732
a, 31.1791, 31.2998
a, 31.3159, 31.248
a, 31.1249, 30.9601
a, 31.184, 30.8908
a, 31.2296, 31.2882
a, 31.3341, 30.9152
a, 31.2822, 30.9109
a, 30.7604, 30.6358
a, 31.2979, 30.8893
a, 30.6134, 31.0389
a, 31.2113, 31.2901
a, 31.4139, 30.6656
a, 31.3415, 30.8784
a, 31.2305, 31.289
a, 31.2856, 30.9294
a, 30.2861, 30.4229
a, 31.3049, 30.8491
a, 31.3947, 30.8764
a, 32.6956, 27.1571
a, 31.2982, 30.8988
a, 31.2206, 30.8493
a, 31.3551, 30.8199
a, 31.1852, 31.3006
a, 30.7938, 30.6088
a, 31.2832, 30.9395
a, 31.2937, 30.8973
a, 29.2103, 30.8249
a, 31.2909, 30.8335
a, 31.3008, 30.8331
a, 31.3191, 30.9027
a, 31.7428, 30.4378
a, 31.3305, 30.8964
a, 31.2837, 30.9398
a, 31.2843, 30.7823
a, 31.3114, 30.9156
a, 31.2348, 31.2035
a, 31.2944, 30.8972
a, 31.2424, 31.2994
a, 31.3605, 31.3453
a, 31.002, 31.3302
a, 35.333, 33.1044
a, 31.174, 30.8761
a, 28.3858, 29.951
a, 30.9957, 31.0435
a, 31.3468, 30.9244
a, 31.2946, 30.8975
a, 31.5149, 30.8169
a, 31.2361, 31.2256
a, 31.5491, 31.8599
a, 31.2919, 30.7786
a, 33.7042, 29.356
a, 31.2451, 31.3222
a, 31.2631, 30.7715
a, 31.309, 31.2902
a, 31.3893, 30.8756
a, 31.3083, 31.105
a, 31.1814, 30.8962
a, 31.256, 31.2081
a, 31.1358, 32.2076
a, 29.7436, 31.33
a, 30.6181, 30.5936
a, 31.3769, 30.8822
a, 31.2933, 30.8205
a, 31.2928, 30.8417
a, 29.3691, 31.2766
a, 31.2624, 30.8079
a, 31.3146, 30.8415
a, 31.0002, 30.6317
a, 30.7834, 30.8435
a, 31.4371, 31.1937
a, 31.3401, 30.8401
a, 31.2891, 31.2825
a, 31.3313, 30.9131
a, 34.3151, 29.7715
a, 31.6324, 30.7135
a, 31.3157, 30.8798
a, 31.1792, 31.3013
a, 31.3902, 30.8757
a, 31.2901, 30.9033
